task,difficulty,reward,verifier_status,verifier_passed,verifier_total,end_status,native_finish_reason,model_responses,tool_calls,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,trace_usage_observed,trace_source,agent_time_seconds,verifier_time_seconds,end_to_end_time_seconds,finished_at,attempt_count,trial_name,result_path
fix-code-vulnerability,Hard,1,passed,6,6,completed,stop,30,35,68379,411968,0,7907,,True,agent/pi-sessions/2026-09-07T16-09-09-735Z_01a07ca1-6f65-72a9-95e8-ff642f4da295.jsonl,230.643678,12.5408,283.127398,2026-09-07T16:13:17.466280Z,1,fix-code-vulnerability__Ngm3Gdm,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-08-33-253153__fix-code-vulnerability/fix-code-vulnerability__Ngm3Gdm/result.json
fix-git,Easy,1,passed,2,2,completed,stop,11,20,46521,32512,0,13193,,True,agent/pi-sessions/2026-09-07T16-13-54-149Z_01a07ca5-c663-739b-981c-6f9255503353.jsonl,276.056571,31.76084,343.128207,2026-09-07T16:19:07.602303Z,1,fix-git__wyXEvGZ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-13-23-217423__fix-git/fix-git__wyXEvGZ/result.json
fix-ocaml-gc,Hard,1,passed,1,1,timeout,deadline,46,54,546771,1580352,0,30395,,True,agent/pi-sessions/2026-09-06T23-53-14-017Z_01a07923-f220-7466-aff6-c3e170ccdd4f.jsonl,3608.109161,1922.772764,5594.502305,2026-09-07T01:25:35.189147Z,1,fix-ocaml-gc__m6Kiwuf,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__23-52-19-665121__fix-ocaml-gc/fix-ocaml-gc__m6Kiwuf/result.json
gcode-to-text,Medium,0,failed,0,2,timeout,deadline,47,49,582430,2653760,0,33248,,True,agent/pi-sessions/2026-09-07T16-19-42-694Z_01a07cab-17e4-76c9-98f4-cd21e4a86aa6.jsonl,908.17185,22.06509,964.805587,2026-09-07T16:35:19.272006Z,1,gcode-to-text__kwzQWP9,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-19-13-458968__gcode-to-text/gcode-to-text__kwzQWP9/result.json
git-leak-recovery,Medium,1,passed,5,5,completed,stop,12,18,52336,40064,0,10554,,True,agent/pi-sessions/2026-09-07T16-20-38-903Z_01a07cab-f374-74c5-8e8f-fb7afb121b17.jsonl,200.945497,25.499312,282.474555,2026-09-07T16:24:31.775338Z,1,git-leak-recovery__cQE9To8,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-19-48-326303__git-leak-recovery/git-leak-recovery__cQE9To8/result.json
git-multibranch,Medium,0,failed,0,1,completed,stop,21,24,131855,201792,0,24790,,True,agent/pi-sessions/2026-09-07T16-24-31-838Z_01a07caf-815c-70e8-9f90-20298a44648c.jsonl,481.737951,52.398668,567.913499,2026-09-07T16:33:31.297984Z,1,git-multibranch__PjAW8gb,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-24-02-463226__git-multibranch/git-multibranch__PjAW8gb/result.json
gpt2-codegolf,Hard,0,failed,0,1,timeout,deadline,9,10,74450,82624,0,34687,,True,agent/pi-sessions/2026-09-06T21-48-59-300Z_01a078b2-3222-7305-b8e5-0c0a1f3796d0.jsonl,906.965442,20.800586,982.93605,2026-09-06T22:04:33.806895Z,1,gpt2-codegolf__2QB323h,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__21-48-09-525255__gpt2-codegolf/gpt2-codegolf__2QB323h/result.json
headless-terminal,Medium,0,failed,0,7,timeout,deadline,3,5,2166,2816,0,388,,True,agent/pi-sessions/2026-09-07T16-25-06-004Z_01a07cb0-06d0-76c4-9599-c6b58b40c0a6.jsonl,908.148592,64.15099,1006.191103,2026-09-07T16:41:23.891632Z,1,headless-terminal__RPcptDj,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-24-36-607377__headless-terminal/headless-terminal__RPcptDj/result.json
hf-model-inference,Medium,0,failed,1,4,completed,stop,12,14,38588,72896,0,7421,,True,agent/pi-sessions/2026-09-07T16-34-05-602Z_01a07cb8-42a1-77c9-9cfc-ecdaaddf3ea1.jsonl,384.362236,21.719352,439.349526,2026-09-07T16:40:57.208796Z,1,hf-model-inference__aSmSMtz,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-33-36-952048__hf-model-inference/hf-model-inference__aSmSMtz/result.json
install-windows-3.11,Hard,1,passed,4,4,timeout,deadline,96,104,697104,5073216,0,99571,,True,agent/pi-sessions/2026-09-06T23-48-19-402Z_01a0791f-7349-7399-b848-538c308dba87.jsonl,3606.926345,69.795185,3709.009007,2026-09-07T00:49:46.544970Z,1,install-windows-3.11__avyjNjh,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__23-47-56-370645__install-windows-3.11/install-windows-3.11__avyjNjh/result.json
kv-store-grpc,Medium,0,failed,5,7,completed,stop,7,8,5526,25728,0,2875,,True,agent/pi-sessions/2026-09-07T16-35-50-274Z_01a07cb9-db81-7273-8e60-a7ef86a688e9.jsonl,125.105951,12.013142,168.312684,2026-09-07T16:38:13.064338Z,1,kv-store-grpc__h7LiUod,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-35-23-799726__kv-store-grpc/kv-store-grpc__h7LiUod/result.json
large-scale-text-editing,Medium,1,passed,5,5,timeout,deadline,24,24,192877,392832,0,44956,,True,agent/pi-sessions/2026-09-07T15-18-14-441Z_01a07c72-d0a8-724d-997a-47239f96e35f.jsonl,1207.481148,80.69725,1320.523109,2026-09-07T15:39:48.569787Z,1,large-scale-text-editing__h7kXoAz,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__15-17-47-047434__large-scale-text-editing/large-scale-text-editing__h7kXoAz/result.json
largest-eigenval,Medium,1,passed,3,3,timeout,deadline,28,32,163867,510912,0,46095,,True,agent/pi-sessions/2026-09-07T16-38-49-112Z_01a07cbc-9615-709c-94ae-88e6564547a1.jsonl,907.95626,12.097779,953.772058,2026-09-07T16:54:14.229954Z,1,largest-eigenval__VG9bzBv,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-38-19-317749__largest-eigenval/largest-eigenval__VG9bzBv/result.json
llm-inference-batching-scheduler,Hard,0,failed,1,6,timeout,deadline,21,22,326035,602752,0,82843,,True,agent/pi-sessions/2026-09-07T13-39-57-520Z_01a07c18-d5cf-77c5-9cc6-85910f29d748.jsonl,1807.809515,42.336232,1880.872878,2026-09-07T14:10:52.918344Z,1,llm-inference-batching-scheduler__CwUs7xa,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__13-39-30-945781__llm-inference-batching-scheduler/llm-inference-batching-scheduler__CwUs7xa/result.json
log-summary-date-ranges,Medium,1,passed,2,2,completed,stop,5,5,26540,13376,0,3265,,True,agent/pi-sessions/2026-09-07T16-41-31-820Z_01a07cbf-11aa-76d0-83c8-32942696a2a2.jsonl,69.23738,22.473208,125.423408,2026-09-07T16:43:09.542532Z,1,log-summary-date-ranges__EfGteBo,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-41-03-027723__log-summary-date-ranges/log-summary-date-ranges__EfGteBo/result.json
mailman,Medium,1,passed,3,3,completed,stop,61,77,429427,2749888,0,55113,,True,agent/pi-sessions/2026-09-07T14-11-25-323Z_01a07c35-a40a-75c0-8559-e88915609972.jsonl,1504.89534,164.740919,1702.280269,2026-09-07T14:39:21.847188Z,1,mailman__7yXiQ66,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__14-10-58-490403__mailman/mailman__7yXiQ66/result.json
make-doom-for-mips,Hard,0,failed,0,3,timeout,deadline,40,58,493372,1310784,0,36622,,True,agent/pi-sessions/2026-09-07T16-41-57-875Z_01a07cbf-7771-7063-8b21-86ff0ca0dc34.jsonl,907.692357,76.697045,1018.065988,2026-09-07T16:58:28.204780Z,1,make-doom-for-mips__JyZg5Wg,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-41-28-971863__make-doom-for-mips/make-doom-for-mips__JyZg5Wg/result.json
make-mips-interpreter,Hard,0,failed,0,3,timeout,deadline,42,50,513634,1643584,0,75966,,True,agent/pi-sessions/2026-09-07T14-35-10-773Z_01a07c4b-6431-71ac-8c11-c1ce714d2f46.jsonl,1807.435235,151.201283,1989.368693,2026-09-07T15:07:56.670416Z,1,make-mips-interpreter__mq5PZcZ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__14-34-46-371372__make-mips-interpreter/make-mips-interpreter__mq5PZcZ/result.json
mcmc-sampling-stan,Hard,1,passed,6,6,timeout,deadline,37,44,351073,1462400,0,52601,,True,agent/pi-sessions/2026-09-06T20-12-59-767Z_01a0785a-4ff6-7445-afbe-2c6233de90a3.jsonl,1806.167126,336.956591,2174.24547,2026-09-06T20:48:56.338641Z,1,mcmc-sampling-stan__h2aCvQx,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__20-12-39-853264__mcmc-sampling-stan/mcmc-sampling-stan__h2aCvQx/result.json
merge-diff-arc-agi-task,Medium,1,passed,5,5,completed,stop,18,20,33694,131392,0,12586,,True,agent/pi-sessions/2026-09-07T13-44-01-538Z_01a07c1c-8f01-70e1-afa1-5ce62a4486c8.jsonl,304.822583,23.660262,420.673772,2026-09-07T13:49:37.147501Z,1,merge-diff-arc-agi-task__mAqz5CG,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__13-42-35-378631__merge-diff-arc-agi-task/merge-diff-arc-agi-task__mAqz5CG/result.json
model-extraction-relu-logits,Hard,0,failed,0,1,timeout,deadline,2,2,14009,2560,0,51225,,True,agent/pi-sessions/2026-09-07T16-43-45-079Z_01a07cc1-1a34-7370-ad9c-0229eb0e5020.jsonl,907.919879,38.377465,980.606956,2026-09-07T16:59:37.197611Z,1,model-extraction-relu-logits__yejaRmB,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-43-15-509508__model-extraction-relu-logits/model-extraction-relu-logits__yejaRmB/result.json
modernize-scientific-stack,Medium,1,passed,2,2,completed,stop,8,10,16048,21888,0,4552,,True,agent/pi-sessions/2026-09-07T17-56-00-292Z_01a07d03-40a2-76db-aee6-f5fe32f5eac0.jsonl,113.123397,44.006504,191.771574,2026-09-07T17:58:44.149705Z,1,modernize-scientific-stack__9VQSB4p,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__17-55-31-361291__modernize-scientific-stack/modernize-scientific-stack__9VQSB4p/result.json
mteb-leaderboard,Medium,1,passed,2,2,completed,stop,51,57,427523,1876736,0,55667,,True,agent/pi-sessions/2026-09-06T19-36-57-080Z_01a07839-4ff6-7290-9658-d2a6c405512b.jsonl,2097.711042,23.351845,2162.587446,2026-09-06T20:12:32.865614Z,1,mteb-leaderboard__aGHuZV8,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-06__19-36-29-086181__mteb-leaderboard/mteb-leaderboard__aGHuZV8/result.json
mteb-retrieve,Medium,0,failed,1,2,completed,stop,34,45,196045,508608,0,35680,,True,agent/pi-sessions/2026-09-07T14-35-12-045Z_01a07c4b-692b-735f-8b74-124d5631ec03.jsonl,1331.998869,607.906201,1972.702764,2026-09-07T15:07:40.253469Z,1,mteb-retrieve__rPTS5FN,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__14-34-46-372868__mteb-retrieve/mteb-retrieve__rPTS5FN/result.json
multi-source-data-merger,Medium,1,passed,3,3,completed,stop,7,9,41448,27648,0,18389,,True,agent/pi-sessions/2026-09-07T16-54-49-124Z_01a07ccb-3c23-7754-afd0-30781b74d26b.jsonl,318.890952,40.490087,393.515112,2026-09-07T17:00:54.878832Z,1,multi-source-data-merger__WZqwLc6,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-54-20-168940__multi-source-data-merger/multi-source-data-merger__WZqwLc6/result.json
nginx-request-logging,Medium,0,failed,3,8,completed,stop,12,14,17996,35456,0,4705,,True,agent/pi-sessions/2026-09-07T16-59-02-437Z_01a07ccf-19a4-7506-b0fe-41536333e411.jsonl,121.318153,36.445375,191.468187,2026-09-07T17:01:46.384853Z,1,nginx-request-logging__gu5vqj4,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-58-33-545473__nginx-request-logging/nginx-request-logging__gu5vqj4/result.json
openssl-selfsigned-cert,Medium,1,passed,6,6,completed,stop,14,13,28287,44416,0,7309,,True,agent/pi-sessions/2026-09-07T17-00-11-035Z_01a07cd0-2599-73b2-b87a-97a53c5ebdf4.jsonl,154.859204,27.02857,215.444607,2026-09-07T17:03:19.382261Z,1,openssl-selfsigned-cert__ZFt5Ur4,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__16-59-42-913143__openssl-selfsigned-cert/openssl-selfsigned-cert__ZFt5Ur4/result.json
overfull-hbox,Easy,1,passed,4,4,completed,stop,16,19,154233,181952,0,20674,,True,agent/pi-sessions/2026-09-07T14-23-57-486Z_01a07c41-1e2d-7793-850b-a0f3c2796e8d.jsonl,558.630189,73.252639,746.629767,2026-09-07T14:34:40.529899Z,1,overfull-hbox__nPfTZGt,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__14-22-12-706899__overfull-hbox/overfull-hbox__nPfTZGt/result.json
password-recovery,Hard,1,passed,2,2,completed,stop,12,15,110042,100608,0,17904,,True,agent/pi-sessions/2026-09-07T17-01-54-258Z_01a07cd1-b8d0-71b9-b62b-3b7a4f4f9519.jsonl,344.912944,25.996215,430.405252,2026-09-07T17:08:11.689364Z,1,password-recovery__i44XRaN,/home/vagrant/moi-benchmark/work/linux-terminal-bench/pi/jobs/2026-09-07__17-01-00-151371__password-recovery/password-recovery__i44XRaN/result.json
