task,difficulty,reward,verifier_status,verifier_passed,verifier_total,end_status,native_finish_reason,model_responses,tool_calls,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,trace_usage_observed,trace_source,agent_time_seconds,verifier_time_seconds,end_to_end_time_seconds,finished_at,attempt_count,trial_name,result_path
cobol-modernization,Easy,1,passed,3,3,completed,completed,21,21,71357,181824,,18334,,True,agent/dsh-events.jsonl,435.476472,20.787007,503.145374,2026-09-03T06:17:04.321176Z,1,cobol-modernization__QwDMhao,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-08-40/cobol-modernization__QwDMhao/result.json
code-from-image,Medium,1,passed,2,2,timeout,product deadline,40,40,211875,940800,,27644,,True,agent/dsh-events.jsonl,1206.767216,16.474777,1258.36068,2026-09-03T05:59:39.325814Z,1,code-from-image__krMWEkn,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-38-40/code-from-image__krMWEkn/result.json
compile-compcert,Medium,0,failed,0,3,timeout,product deadline,27,29,32648,99840,,2363,,True,agent/dsh-events.jsonl,2407.759101,20.859211,2506.2088,2026-09-03T04:58:33.063270Z,2,compile-compcert__gTFCnRT,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__04-16-46/compile-compcert__gTFCnRT/result.json
configure-git-webserver,Hard,0,failed,0,1,completed,completed,16,15,12398,59456,,1282,,True,agent/dsh-events.jsonl,135.800749,19.051163,223.069053,2026-09-03T06:14:06.644296Z,1,configure-git-webserver__B4yDwg9,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-10-23/configure-git-webserver__B4yDwg9/result.json
constraints-scheduling,Medium,1,passed,3,3,completed,completed,6,7,9319,25728,,5427,,True,agent/dsh-events.jsonl,143.332616,34.881456,215.854817,2026-09-03T05:45:54.369392Z,1,constraints-scheduling__Su4nSfx,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-42-18/constraints-scheduling__Su4nSfx/result.json
count-dataset-tokens,Medium,0,failed,0,1,timeout,product deadline,33,33,74549,212608,,9849,,True,agent/dsh-events.jsonl,906.936823,23.536333,964.753663,2026-09-03T06:30:18.317948Z,1,count-dataset-tokens__WpBcd83,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-14-13/count-dataset-tokens__WpBcd83/result.json
crack-7z-hash,Medium,1,passed,2,2,completed,completed,28,28,49582,236352,,5165,,True,agent/dsh-events.jsonl,1363.113464,35.201256,1505.750632,2026-09-02T15:35:42.873101Z,1,crack-7z-hash__KEtS5nG,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__15-10-36/crack-7z-hash__KEtS5nG/result.json
custom-memory-heap-crash,Medium,1,passed,6,6,completed,completed,32,32,114115,421504,,23687,,True,agent/dsh-events.jsonl,630.806297,61.118416,880.840906,2026-09-02T16:52:53.714652Z,1,custom-memory-heap-crash__3k3cEov,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__16-38-12/custom-memory-heap-crash__3k3cEov/result.json
db-wal-recovery,Medium,1,passed,7,7,completed,completed,8,9,18024,31168,,1374,,True,agent/dsh-events.jsonl,87.289232,37.218117,177.450238,2026-09-03T06:20:08.869633Z,1,db-wal-recovery__52YxoBR,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-17-11/db-wal-recovery__52YxoBR/result.json
distribution-search,Medium,1,passed,4,4,completed,completed,6,5,20509,17408,,8350,,True,agent/dsh-events.jsonl,190.038632,216.191082,461.189849,2026-09-02T14:21:37.422675Z,1,distribution-search__fwtwPjw,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__14-13-55/distribution-search__fwtwPjw/result.json
dna-assembly,Hard,1,passed,1,1,completed,completed,20,24,141913,424640,,47141,,True,agent/dsh-events.jsonl,861.216435,27.164611,950.947415,2026-09-03T16:43:06.653861Z,2,dna-assembly__dZxuCrK,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__16-27-14-595924__dna-assembly/dna-assembly__dZxuCrK/result.json
dna-insert,Medium,1,passed,1,1,completed,completed,21,20,67766,130496,,13210,,True,agent/dsh-events.jsonl,379.764633,21.233748,455.782836,2026-09-03T05:06:16.898441Z,2,dna-insert__5jsPJst,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__04-58-40/dna-insert__5jsPJst/result.json
extract-elf,Medium,0,failed,0,2,completed,completed,10,14,25264,97920,,11301,,True,agent/dsh-events.jsonl,261.296249,30.754332,370.74022,2026-09-03T06:26:26.996962Z,1,extract-elf__REphZft,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-20-15/extract-elf__REphZft/result.json
extract-moves-from-video,Hard,0,failed,0,2,timeout,product deadline,24,27,59940,124032,,7783,,True,agent/dsh-events.jsonl,1806.831006,23.744613,1899.220371,2026-09-03T03:59:02.420351Z,2,extract-moves-from-video__vfKPiCV,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__03-27-22/extract-moves-from-video__vfKPiCV/result.json
feal-differential-cryptanalysis,Hard,1,passed,1,1,completed,completed,8,7,56010,9600,,11169,,True,agent/dsh-events.jsonl,610.474574,51.919668,699.588298,2026-09-02T16:50:58.482104Z,1,feal-differential-cryptanalysis__JUDx43s,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__16-39-18/feal-differential-cryptanalysis__JUDx43s/result.json
feal-linear-cryptanalysis,Hard,1,passed,1,1,completed,completed,18,19,210642,356800,,41362,,True,agent/dsh-events.jsonl,1123.103437,18.474241,1188.702375,2026-09-02T17:10:54.347333Z,1,feal-linear-cryptanalysis__VJTXde2,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__16-51-05/feal-linear-cryptanalysis__VJTXde2/result.json
filter-js-from-html,Medium,0,failed,1,2,completed,completed,48,48,169866,748928,,29640,,True,agent/dsh-events.jsonl,725.630758,416.285792,1169.482382,2026-09-02T12:54:41.826954Z,1,filter-js-from-html__Sd3Z9Sv,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__12-35-12/filter-js-from-html__Sd3Z9Sv/result.json
financial-document-processor,Medium,1,passed,7,7,completed,completed,19,19,42462,118144,,10535,,True,agent/dsh-events.jsonl,713.911342,57.809209,825.50357,2026-09-03T05:20:09.709654Z,2,financial-document-processor__hoaZhGY,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-06-23/financial-document-processor__hoaZhGY/result.json
fix-code-vulnerability,Hard,1,passed,6,6,completed,completed,23,27,31114,177536,,2094,,True,agent/dsh-events.jsonl,176.349776,13.51248,242.263888,2026-09-03T06:25:35.773942Z,1,fix-code-vulnerability__o2Eda8g,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-21-33/fix-code-vulnerability__o2Eda8g/result.json
fix-git,Easy,1,passed,2,2,completed,completed,9,8,11822,10752,,1522,,True,agent/dsh-events.jsonl,80.970896,21.418756,145.078904,2026-09-03T06:28:07.868193Z,1,fix-git__HtEzNVT,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-25-42/fix-git__HtEzNVT/result.json
fix-ocaml-gc,Hard,0,failed,0,1,completed,completed,42,51,96003,875904,,10830,,True,agent/dsh-events.jsonl,2113.121072,192.819446,2484.153236,2026-09-02T15:03:09.776306Z,1,fix-ocaml-gc__ye2mWLs,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__14-21-45/fix-ocaml-gc__ye2mWLs/result.json
gcode-to-text,Medium,0,failed,0,2,timeout,product deadline,40,40,240175,763904,,28942,,True,agent/dsh-events.jsonl,906.792453,18.263072,957.450084,2026-09-03T06:42:31.930978Z,1,gcode-to-text__SWf5Dib,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-26-34/gcode-to-text__SWf5Dib/result.json
git-leak-recovery,Medium,1,passed,5,5,completed,completed,12,15,12811,19072,,1796,,True,agent/dsh-events.jsonl,117.449268,46.751711,240.049316,2026-09-03T06:32:15.069470Z,1,git-leak-recovery__FPGHDJa,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-28-14/git-leak-recovery__FPGHDJa/result.json
git-multibranch,Medium,0,failed,0,1,completed,completed,22,21,28823,51648,,3734,,True,agent/dsh-events.jsonl,535.383381,34.625927,628.741215,2026-09-03T06:40:54.238932Z,1,git-multibranch__jDjbayT,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-30-25/git-multibranch__jDjbayT/result.json
gpt2-codegolf,Hard,0,failed,0,1,timeout,product deadline,17,20,122244,202624,,39137,,True,agent/dsh-events.jsonl,906.736859,25.273889,986.281764,2026-09-02T13:11:15.399375Z,1,gpt2-codegolf__E29oZN8,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__12-54-48/gpt2-codegolf__E29oZN8/result.json
headless-terminal,Medium,1,passed,7,7,completed,completed,12,11,17054,22720,,4333,,True,agent/dsh-events.jsonl,214.563032,52.740518,304.131558,2026-09-03T06:37:26.110483Z,1,headless-terminal__uitEdey,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-32-21/headless-terminal__uitEdey/result.json
hf-model-inference,Medium,0,failed,1,4,completed,completed,14,13,33486,80384,,3580,,True,agent/dsh-events.jsonl,363.520941,22.302983,458.647784,2026-09-03T06:45:11.537362Z,1,hf-model-inference__o23AZ25,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-37-32/hf-model-inference__o23AZ25/result.json
install-windows-3.11,Hard,0,failed,1,4,completed,completed,40,41,58786,286080,,11742,,True,agent/dsh-events.jsonl,840.554901,61.631675,926.366377,2026-09-03T04:16:39.390496Z,2,install-windows-3.11__LX68GXM,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__04-01-12/install-windows-3.11__LX68GXM/result.json
kv-store-grpc,Medium,0,failed,5,7,completed,completed,10,10,7669,14336,,1694,,True,agent/dsh-events.jsonl,89.567044,19.058925,143.306678,2026-09-03T06:43:24.579129Z,1,kv-store-grpc__eDmrWCV,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-41-00/kv-store-grpc__eDmrWCV/result.json
large-scale-text-editing,Medium,1,passed,5,5,completed,completed,13,12,30842,71872,,8310,,True,agent/dsh-events.jsonl,558.314249,82.842455,680.150559,2026-09-03T05:57:21.498342Z,1,large-scale-text-editing__XZteriz,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-46-01/large-scale-text-editing__XZteriz/result.json
largest-eigenval,Medium,0,failed,2,3,timeout,product deadline,33,33,64927,307072,,12764,,True,agent/dsh-events.jsonl,907.187106,15.1006,961.118575,2026-09-03T06:58:39.930673Z,1,largest-eigenval__HFjQtKR,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-42-38/largest-eigenval__HFjQtKR/result.json
llm-inference-batching-scheduler,Hard,1,passed,6,6,completed,completed,18,20,127544,492288,,51553,,True,agent/dsh-events.jsonl,1435.291118,22.539252,1492.169299,2026-09-02T17:17:53.420050Z,1,llm-inference-batching-scheduler__jUtP3xk,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__16-53-00/llm-inference-batching-scheduler__jUtP3xk/result.json
log-summary-date-ranges,Medium,1,passed,2,2,completed,completed,4,4,7039,3072,,1741,,True,agent/dsh-events.jsonl,54.142836,30.962011,119.944536,2026-09-03T06:45:31.647180Z,1,log-summary-date-ranges__KR3nR4u,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-43-31/log-summary-date-ranges__KR3nR4u/result.json
mailman,Medium,0,failed,0,3,max_turn,max_turns,50,53,225778,1234752,,19065,,True,agent/dsh-events.jsonl,680.153353,96.631437,802.684933,2026-09-03T16:56:36.052904Z,4,mailman__7727x9u,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__16-43-12-327569__mailman/mailman__7727x9u/result.json
make-doom-for-mips,Hard,0,failed,0,3,timeout,product deadline,44,55,249513,1957440,,24923,,True,agent/dsh-events.jsonl,906.81075,62.500493,1018.095437,2026-09-03T07:02:16.880737Z,1,make-doom-for-mips__ryqD4kj,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-45-18/make-doom-for-mips__ryqD4kj/result.json
make-mips-interpreter,Hard,0,failed,0,3,max_turn,max_turns,50,50,144117,972416,,7441,,True,agent/dsh-events.jsonl,444.157429,74.294551,603.438556,2026-09-03T04:27:20.414738Z,1,make-mips-interpreter__Phntbuh,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__04-17-16/make-mips-interpreter__Phntbuh/result.json
mcmc-sampling-stan,Hard,1,passed,6,6,completed,completed,23,25,51324,94272,,6822,,True,agent/dsh-events.jsonl,1585.419286,250.815683,1862.243357,2026-09-02T12:35:04.302328Z,1,mcmc-sampling-stan__jFz7pKZ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__12-04-01/mcmc-sampling-stan__jFz7pKZ/result.json
merge-diff-arc-agi-task,Medium,1,passed,5,5,completed,completed,16,15,25269,71552,,7945,,True,agent/dsh-events.jsonl,224.106642,28.632348,306.735974,2026-09-03T05:25:23.360612Z,2,merge-diff-arc-agi-task__fCHB4eF,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-20-16/merge-diff-arc-agi-task__fCHB4eF/result.json
model-extraction-relu-logits,Hard,0,failed,0,1,completed,completed,22,22,111405,688192,,38187,,True,agent/dsh-events.jsonl,808.854966,34.102627,879.795766,2026-09-03T07:00:19.202006Z,1,model-extraction-relu-logits__kQRLmH3,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-45-39/model-extraction-relu-logits__kQRLmH3/result.json
modernize-scientific-stack,Medium,1,passed,2,2,completed,completed,9,12,9206,21888,,1905,,True,agent/dsh-events.jsonl,86.041737,26.072428,138.195739,2026-09-03T18:35:49.277983Z,3,modernize-scientific-stack__CvTLVtp,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__18-33-30-120139__modernize-scientific-stack/modernize-scientific-stack__CvTLVtp/result.json
mteb-leaderboard,Medium,0,failed,0,2,max_turn,max_turns,50,51,142624,413184,,7840,,True,agent/dsh-events.jsonl,1281.741749,22.85424,1332.414109,2026-09-02T12:03:55.345973Z,1,mteb-leaderboard__J66MhfT,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__11-41-42/mteb-leaderboard__J66MhfT/result.json
mteb-retrieve,Medium,0,failed,1,2,completed,completed,23,22,56213,148352,,5010,,True,agent/dsh-events.jsonl,645.078519,1183.058041,1857.558051,2026-09-03T17:27:41.153172Z,2,mteb-retrieve__FTDrFF8,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__16-56-42-471324__mteb-retrieve/mteb-retrieve__FTDrFF8/result.json
multi-source-data-merger,Medium,1,passed,3,3,completed,completed,6,8,12611,7616,,3466,,True,agent/dsh-events.jsonl,111.052367,78.531566,243.144113,2026-09-03T07:02:49.928436Z,1,multi-source-data-merger__LmdMa92,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__06-58-46/multi-source-data-merger__LmdMa92/result.json
nginx-request-logging,Medium,0,failed,3,8,completed,completed,8,9,6099,12864,,1329,,True,agent/dsh-events.jsonl,79.152201,27.371251,141.809118,2026-09-03T07:02:47.995146Z,1,nginx-request-logging__zP4DQKK,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__07-00-25/nginx-request-logging__zP4DQKK/result.json
openssl-selfsigned-cert,Medium,1,passed,6,6,completed,completed,9,8,8967,8064,,1486,,True,agent/dsh-events.jsonl,73.365056,34.065533,141.734828,2026-09-03T07:04:45.655771Z,1,openssl-selfsigned-cert__Tq6TuoN,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__07-02-23/openssl-selfsigned-cert__Tq6TuoN/result.json
overfull-hbox,Easy,1,passed,4,4,completed,completed,17,19,67345,155520,,10649,,True,agent/dsh-events.jsonl,653.95568,73.655443,781.803773,2026-09-03T05:38:32.092593Z,2,overfull-hbox__y7vYQYh,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-25-29/overfull-hbox__y7vYQYh/result.json
password-recovery,Hard,0,failed,0,2,timeout,product deadline,24,35,72862,292224,,24532,,True,agent/dsh-events.jsonl,907.464409,23.582071,1001.8121,2026-09-03T17:42:14.140443Z,3,password-recovery__xB8JZMB,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-25-31-348704__password-recovery/password-recovery__xB8JZMB/result.json
path-tracing,Hard,0,failed,0,5,timeout,product deadline,31,31,259981,838272,,58265,,True,agent/dsh-events.jsonl,1806.925863,30.542682,1913.507895,2026-09-03T05:42:11.594926Z,1,path-tracing__QQ2YYyZ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__05-10-17/path-tracing__QQ2YYyZ/result.json
path-tracing-reverse,Hard,0,failed,0,3,timeout,product deadline,35,35,529992,623744,,40325,,True,agent/dsh-events.jsonl,1806.983368,24.458252,1904.177344,2026-09-03T17:57:16.609186Z,2,path-tracing-reverse__FMkW8Lj,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-25-31-346534__path-tracing-reverse/path-tracing-reverse__FMkW8Lj/result.json
polyglot-c-py,Medium,1,passed,1,1,completed,completed,8,7,43279,51328,,17418,,True,agent/dsh-events.jsonl,325.091914,24.96227,408.493592,2026-09-03T17:34:36.976778Z,3,polyglot-c-py__ZMox8dg,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-27-47-361594__polyglot-c-py/polyglot-c-py__ZMox8dg/result.json
polyglot-rust-c,Hard,1,passed,1,1,completed,completed,5,5,34531,101888,,33232,,True,agent/dsh-events.jsonl,498.340923,29.067521,582.663831,2026-09-03T17:44:26.139801Z,3,polyglot-rust-c__rPKk677,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-34-42-435805__polyglot-rust-c/polyglot-rust-c__rPKk677/result.json
portfolio-optimization,Medium,1,passed,4,4,completed,completed,19,18,35347,119104,,11190,,True,agent/dsh-events.jsonl,499.741944,331.393803,882.595463,2026-09-02T13:50:08.909069Z,1,portfolio-optimization__KQDXuY7,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__13-35-26/portfolio-optimization__KQDXuY7/result.json
protein-assembly,Hard,0,failed,0,1,timeout,product deadline,34,38,105943,505984,,21780,,True,agent/dsh-events.jsonl,1806.526955,33.571372,1886.16268,2026-09-02T16:08:12.081596Z,1,protein-assembly__5PX3tub,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__15-36-45/protein-assembly__5PX3tub/result.json
prove-plus-comm,Easy,1,passed,4,4,completed,completed,8,8,4100,11648,,1404,,True,agent/dsh-events.jsonl,65.20013,35.711138,126.966344,2026-09-03T17:44:28.231735Z,3,prove-plus-comm__LVuNrXy,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-42-20-122882__prove-plus-comm/prove-plus-comm__LVuNrXy/result.json
pypi-server,Medium,0,failed,0,1,completed,completed,15,14,10287,25408,,1740,,True,agent/dsh-events.jsonl,100.42735,32.109653,158.237959,2026-09-03T17:47:11.104218Z,3,pypi-server__6e9U8pj,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-44-31-985399__pypi-server/pypi-server__6e9U8pj/result.json
pytorch-model-cli,Medium,0,failed,5,6,completed,completed,36,35,122166,484928,,24704,,True,agent/dsh-events.jsonl,640.380348,153.428381,821.306786,2026-09-03T17:58:16.700554Z,4,pytorch-model-cli__N8iEs9u,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-44-34-346725__pytorch-model-cli/pytorch-model-cli__N8iEs9u/result.json
pytorch-model-recovery,Medium,1,passed,5,5,completed,completed,9,9,46226,31104,,8838,,True,agent/dsh-events.jsonl,228.014946,248.295399,504.166965,2026-09-03T17:55:42.572382Z,4,pytorch-model-recovery__KCs2i7T,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-47-17-216952__pytorch-model-recovery/pytorch-model-recovery__KCs2i7T/result.json
qemu-alpine-ssh,Medium,0,failed,0,1,timeout,product deadline,30,30,120862,70592,,7768,,True,agent/dsh-events.jsonl,906.679345,27.151866,1097.246148,2026-09-02T16:28:31.783786Z,1,qemu-alpine-ssh__pdSUdpo,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__16-10-14/qemu-alpine-ssh__pdSUdpo/result.json
qemu-startup,Medium,0,failed,0,1,completed,completed,13,12,14987,17280,,2512,,True,agent/dsh-events.jsonl,424.305851,22.74693,483.857289,2026-09-02T16:36:43.712818Z,1,qemu-startup__PorqGvZ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__16-28-39/qemu-startup__PorqGvZ/result.json
query-optimize,Medium,1,passed,6,6,completed,completed,12,11,19411,19968,,2410,,True,agent/dsh-events.jsonl,402.933766,862.204843,1326.017783,2026-09-03T18:17:56.527646Z,2,query-optimize__PyjKAND,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-55-49-420622__query-optimize/query-optimize__PyjKAND/result.json
raman-fitting,Medium,0,failed,0,3,timeout,product deadline,17,18,101420,128960,,47554,,True,agent/dsh-events.jsonl,907.242655,22.7449,956.643524,2026-09-03T18:13:19.781251Z,2,raman-fitting__x3Cuyzy,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-57-22-179770__raman-fitting/raman-fitting__x3Cuyzy/result.json
regex-chess,Hard,0,failed,0,4,max_token,max-tokens,2,2,2790,1408,,65661,,True,agent/dsh-events.jsonl,1029.443063,167.555687,1236.773804,2026-09-02T15:23:54.658179Z,1,regex-chess__zooikxr,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__15-03-17/regex-chess__zooikxr/result.json
regex-log,Medium,1,passed,1,1,completed,completed,7,6,87739,154944,,39078,,True,agent/dsh-events.jsonl,576.366789,29.002824,661.759051,2026-09-03T18:09:25.165325Z,2,regex-log__5xQQ4Fx,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-03__17-58-22-429481__regex-log/regex-log__5xQQ4Fx/result.json
reshard-c4-data,Medium,0,failed,0,1,completed,completed,24,23,104457,323776,,17243,,True,agent/dsh-events.jsonl,411.826061,1115.101006,1733.336491,2026-09-02T15:52:56.587194Z,1,reshard-c4-data__hgBNfSM,/home/vagrant/moi-benchmark/work/linux-terminal-bench/dsh/jobs/2026-09-02__15-24-02/reshard-c4-data__hgBNfSM/result.json
