task,difficulty,reward,verifier_status,verifier_passed,verifier_total,end_status,native_finish_reason,model_responses,tool_calls,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,trace_usage_observed,trace_source,agent_time_seconds,verifier_time_seconds,end_to_end_time_seconds,finished_at,attempt_count,trial_name,result_path
code-from-image,Medium,1,passed,2,2,completed,run.completed,5,4,16984,57600,0,575,128,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,89.96731,21.940872,138.929898,2026-09-08T21:13:44.323213Z,1,code-from-image__kepKmCh,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-10-28-952228__code-from-image/code-from-image__kepKmCh/result.json
compile-compcert,Medium,0,failed,0,3,timeout,ProductDeadlineExpired,43,45,47032,756288,0,3284,317,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,2425.115915,23.415991,2504.333651,2026-09-08T17:15:14.831229Z,1,compile-compcert__TkEXiA8,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__16-32-23-814636__compile-compcert/compile-compcert__TkEXiA8/result.json
configure-git-webserver,Hard,0,failed,0,1,completed,run.completed,13,12,3432,191232,0,1048,335,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,113.099943,20.905901,161.957798,2026-09-08T21:55:05.452838Z,1,configure-git-webserver__G7FEdUX,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-51-30-924846__configure-git-webserver/configure-git-webserver__G7FEdUX/result.json
constraints-scheduling,Medium,1,passed,3,3,completed,run.completed,6,7,19757,100160,0,7497,1678,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,152.450273,33.350461,212.948616,2026-09-08T21:16:56.985962Z,1,constraints-scheduling__Er38hw3,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-12-32-260371__constraints-scheduling/constraints-scheduling__Er38hw3/result.json
count-dataset-tokens,Medium,0,failed,0,1,timeout,ProductDeadlineExpired,23,23,49960,372544,0,2610,246,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,920.567823,45.791381,994.832261,2026-09-09T04:11:43.827785Z,3,count-dataset-tokens__gnV6gyC,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__03-54-22-707975__count-dataset-tokens/count-dataset-tokens__gnV6gyC/result.json
crack-7z-hash,Medium,1,passed,2,2,completed,run.completed,66,65,124277,1325184,0,6781,1165,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1470.648805,22.246047,1529.930472,2026-09-08T17:42:03.799773Z,1,crack-7z-hash__rxewoeL,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__17-15-22-777189__crack-7z-hash/crack-7z-hash__rxewoeL/result.json
custom-memory-heap-crash,Medium,0,failed,5,6,max_turn,api_call_count reached max_turns=90,90,98,207910,4020992,0,20614,13347,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1137.228967,41.193071,1209.480717,2026-09-08T19:46:59.593815Z,1,custom-memory-heap-crash__sn4zgu8,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__19-25-39-844141__custom-memory-heap-crash/custom-memory-heap-crash__sn4zgu8/result.json
db-wal-recovery,Medium,0,failed,0,7,timeout,ProductDeadlineExpired,83,83,110217,2233344,0,27255,21381,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,907.580892,31.475918,966.181732,2026-09-09T00:01:04.342406Z,2,db-wal-recovery__iws3vRT,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__23-43-33-187410__db-wal-recovery/db-wal-recovery__iws3vRT/result.json
distribution-search,Medium,1,passed,4,4,completed,run.completed,8,7,4990,123648,0,33226,30439,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,511.119107,30.778569,568.953118,2026-09-08T15:05:15.707706Z,1,distribution-search__Uu9wkQg,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__14-54-54-075922__distribution-search/distribution-search__Uu9wkQg/result.json
dna-assembly,Hard,1,passed,1,1,completed,run.completed,28,30,140907,1059776,0,60130,4261,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1348.556284,35.921546,1412.690142,2026-09-08T19:51:17.778567Z,1,dna-assembly__EaQ5uGM,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__19-26-48-819943__dna-assembly/dna-assembly__EaQ5uGM/result.json
dna-insert,Medium,0,failed,0,1,completed,run.completed,23,22,39753,440896,0,14957,6246,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,356.993177,37.645799,421.971152,2026-09-08T17:50:15.526550Z,1,dna-insert__TwyZbJP,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__17-42-09-603398__dna-insert/dna-insert__TwyZbJP/result.json
extract-elf,Medium,0,failed,0,2,timeout,ProductDeadlineExpired,11,17,118615,279936,0,27423,26711,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,909.857789,35.871844,984.252482,2026-09-08T22:13:43.301544Z,1,extract-elf__XT69jhV,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-56-17-687261__extract-elf/extract-elf__XT69jhV/result.json
extract-moves-from-video,Hard,0,failed,0,2,timeout,ProductDeadlineExpired,25,32,49224,530368,0,2592,667,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1809.576538,21.568287,1860.979433,2026-09-09T04:46:01.161777Z,2,extract-moves-from-video__fbNrMUj,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__04-14-11-517982__extract-moves-from-video/extract-moves-from-video__fbNrMUj/result.json
feal-differential-cryptanalysis,Hard,1,passed,1,1,completed,run.completed,7,6,8010,109632,0,19422,16645,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,345.168781,60.498311,433.674124,2026-09-08T19:59:28.297380Z,1,feal-differential-cryptanalysis__BDT8FVB,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__19-51-23-358958__feal-differential-cryptanalysis/feal-differential-cryptanalysis__BDT8FVB/result.json
feal-linear-cryptanalysis,Hard,0,failed,0,1,max_token,finish_reason=length,1,4,161,14144,0,68,14,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1764.933858,23.514069,1817.165673,2026-09-08T20:26:58.631203Z,1,feal-linear-cryptanalysis__Gndt2T4,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__19-55-45-927117__feal-linear-cryptanalysis/feal-linear-cryptanalysis__Gndt2T4/result.json
filter-js-from-html,Medium,0,failed,1,2,completed,run.completed,7,6,51889,67776,0,2297,181,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,88.964247,441.13176,564.8664,2026-09-09T06:07:44.908398Z,3,filter-js-from-html__DB2cdw2,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__05-57-34-055011__filter-js-from-html/filter-js-from-html__DB2cdw2/result.json
financial-document-processor,Medium,1,passed,7,7,completed,run.completed,21,20,27736,342208,0,6330,3017,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,614.246151,679.975585,1321.987812,2026-09-09T05:16:34.350788Z,2,financial-document-processor__CUJgRAD,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__04-53-46-314769__financial-document-processor/financial-document-processor__CUJgRAD/result.json
fix-code-vulnerability,Hard,1,passed,6,6,completed,run.completed,30,32,35497,582912,0,2297,321,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,233.022845,13.17683,281.938292,2026-09-09T04:00:48.611285Z,3,fix-code-vulnerability__x4egnx3,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__03-55-07-834971__fix-code-vulnerability/fix-code-vulnerability__x4egnx3/result.json
fix-git,Easy,1,passed,2,2,completed,run.completed,8,7,2791,115264,0,727,112,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,66.306627,20.245291,116.979506,2026-09-09T00:00:47.963043Z,2,fix-git__6R336iT,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__23-58-06-298938__fix-git/fix-git__6R336iT/result.json
fix-ocaml-gc,Hard,1,passed,1,1,timeout,ProductDeadlineExpired,34,39,344620,1423040,0,17174,13758,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,3619.493701,1851.225074,5509.682031,2026-09-08T16:38:14.790490Z,1,fix-ocaml-gc__kV7UdCP,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__15-05-21-318673__fix-ocaml-gc/fix-ocaml-gc__kV7UdCP/result.json
gcode-to-text,Medium,0,failed,0,2,timeout,ProductDeadlineExpired,31,31,67538,719360,0,17464,3904,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,909.179347,25.023504,964.127184,2026-09-09T04:13:06.534808Z,2,gcode-to-text__5dHYYTf,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__03-55-07-835353__gcode-to-text/gcode-to-text__5dHYYTf/result.json
git-leak-recovery,Medium,1,passed,5,5,completed,run.completed,8,12,3875,118336,0,888,68,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,72.137565,31.380977,134.07564,2026-09-09T00:03:15.509978Z,2,git-leak-recovery__vmhW9GP,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-00-15-883631__git-leak-recovery/git-leak-recovery__vmhW9GP/result.json
git-multibranch,Medium,0,failed,0,1,completed,run.completed,32,31,24679,548928,0,3890,244,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,312.726488,41.399353,385.009464,2026-09-09T00:08:11.805369Z,2,git-multibranch__ngeDPSU,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-01-00-072040__git-multibranch/git-multibranch__ngeDPSU/result.json
gpt2-codegolf,Hard,0,failed,0,1,timeout,ProductDeadlineExpired,0,0,0,0,0,0,0,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,907.69886,26.991681,962.402365,2026-09-09T05:33:33.658832Z,2,gpt2-codegolf__ASLgtbu,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__05-16-40-005723__gpt2-codegolf/gpt2-codegolf__ASLgtbu/result.json
headless-terminal,Medium,0,failed,6,7,completed,run.completed,21,21,18094,370176,0,5127,387,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,222.418213,52.38713,302.652003,2026-09-09T00:07:36.164155Z,2,headless-terminal__7qZVM6d,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-01-45-432889__headless-terminal/headless-terminal__7qZVM6d/result.json
hf-model-inference,Medium,0,failed,2,4,completed,run.completed,16,18,19481,305536,0,2791,266,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,418.797932,23.01334,473.183911,2026-09-09T04:09:40.986198Z,3,hf-model-inference__tpz3zxW,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__04-00-55-592856__hf-model-inference/hf-model-inference__tpz3zxW/result.json
install-windows-3.11,Hard,0,failed,1,4,completed,run.completed,64,69,66649,1444800,0,9373,272,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1328.567421,90.502476,1448.008823,2026-09-08T15:15:59.580092Z,1,install-windows-3.11__dqM8zwb,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__14-50-50-369046__install-windows-3.11/install-windows-3.11__dqM8zwb/result.json
kv-store-grpc,Medium,0,failed,5,7,completed,run.completed,10,10,8217,153600,0,1418,129,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,119.344949,11.478155,158.242151,2026-09-09T00:10:32.993318Z,2,kv-store-grpc__EYR5BBD,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-07-45-572117__kv-store-grpc/kv-store-grpc__EYR5BBD/result.json
large-scale-text-editing,Medium,1,passed,5,5,completed,run.completed,11,13,7513,173824,0,13907,11636,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,384.309425,84.971585,497.570441,2026-09-08T21:22:59.540223Z,1,large-scale-text-editing__etSnjaM,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__21-13-49-607946__large-scale-text-editing/large-scale-text-editing__etSnjaM/result.json
largest-eigenval,Medium,0,failed,2,3,completed,run.completed,11,11,14729,169472,0,3698,2007,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,170.776905,12.699614,210.698959,2026-09-09T04:14:06.049131Z,3,largest-eigenval__DgV69sC,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__04-09-48-191356__largest-eigenval/largest-eigenval__DgV69sC/result.json
llm-inference-batching-scheduler,Hard,1,passed,6,6,completed,run.completed,16,18,67878,423232,0,83020,67018,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1381.311327,24.120068,1433.787896,2026-09-08T20:24:20.258982Z,1,llm-inference-batching-scheduler__vUXFko7,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__19-59-33-890815__llm-inference-batching-scheduler/llm-inference-batching-scheduler__vUXFko7/result.json
log-summary-date-ranges,Medium,1,passed,2,2,completed,run.completed,7,6,7300,102656,0,1524,158,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,70.679725,23.151457,121.338842,2026-09-09T00:13:27.888256Z,2,log-summary-date-ranges__vXjmCEh,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-10-42-594801__log-summary-date-ranges/log-summary-date-ranges__vXjmCEh/result.json
mailman,Medium,0,failed,2,3,completed,run.completed,89,104,121506,3402944,0,18177,7198,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,932.163035,96.144668,1056.369237,2026-09-08T20:37:45.230776Z,1,mailman__d4sjLc5,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__20-19-15-094914__mailman/mailman__d4sjLc5/result.json
make-doom-for-mips,Hard,0,failed,0,3,timeout,ProductDeadlineExpired,82,93,163562,5211520,0,27479,2080,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,909.406133,70.2499,1017.809078,2026-09-09T00:31:21.065229Z,2,make-doom-for-mips__5bnr9Sz,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-13-34-109594__make-doom-for-mips/make-doom-for-mips__5bnr9Sz/result.json
make-mips-interpreter,Hard,0,failed,0,3,timeout,ProductDeadlineExpired,36,52,147321,1409344,0,26153,17700,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1811.171794,74.890705,1924.628756,2026-09-08T20:57:45.291769Z,1,make-mips-interpreter__hKmJwQP,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__20-24-25-828156__make-mips-interpreter/make-mips-interpreter__hKmJwQP/result.json
mcmc-sampling-stan,Hard,0,failed,2,6,timeout,ProductDeadlineExpired,26,29,80778,418560,0,4052,1603,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1818.318575,26.062666,1872.593779,2026-09-08T08:27:06.496156Z,1,mcmc-sampling-stan__u26Aggu,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__07-55-43-471910__mcmc-sampling-stan/mcmc-sampling-stan__u26Aggu/result.json
merge-diff-arc-agi-task,Medium,1,passed,5,5,completed,run.completed,21,22,60027,636480,0,12000,8915,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,357.381078,22.168591,407.732745,2026-09-08T18:45:37.656311Z,1,merge-diff-arc-agi-task__VsiwT8s,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__18-37-49-807908__merge-diff-arc-agi-task/merge-diff-arc-agi-task__VsiwT8s/result.json
model-extraction-relu-logits,Hard,0,failed,0,1,timeout,ProductDeadlineExpired,15,15,33482,306624,0,49745,45682,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,908.315036,35.704671,971.761309,2026-09-09T00:31:29.966756Z,2,model-extraction-relu-logits__Ws5K62y,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-14-30-202865__model-extraction-relu-logits/model-extraction-relu-logits__Ws5K62y/result.json
modernize-scientific-stack,Medium,1,passed,2,2,completed,run.completed,20,21,67117,320896,0,4135,757,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,219.355257,46.159957,296.801502,2026-09-08T23:48:31.207449Z,2,modernize-scientific-stack__idmxovX,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__23-42-48-565363__modernize-scientific-stack/modernize-scientific-stack__idmxovX/result.json
mteb-leaderboard,Medium,0,failed,0,2,max_turn,api_call_count reached max_turns=90,90,90,173532,2105728,0,8545,106,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1313.819576,21.043552,1372.127911,2026-09-08T07:55:34.090346Z,1,mteb-leaderboard__S8Z4cAL,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__07-32-32-034760__mteb-leaderboard/mteb-leaderboard__S8Z4cAL/result.json
mteb-retrieve,Medium,0,failed,0,2,max_turn,api_call_count reached max_turns=90,90,91,100638,3171712,0,18073,5040,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1363.995705,375.616998,1776.181956,2026-09-08T20:57:35.361481Z,1,mteb-retrieve__ybR66XL,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__20-27-04-131861__mteb-retrieve/mteb-retrieve__ybR66XL/result.json
multi-source-data-merger,Medium,1,passed,3,3,completed,run.completed,13,16,10624,201600,0,2865,27,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,154.841806,43.848246,227.036517,2026-09-09T00:19:49.651556Z,2,multi-source-data-merger__aQfLpFZ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-15-16-976695__multi-source-data-merger/multi-source-data-merger__aQfLpFZ/result.json
nginx-request-logging,Medium,0,failed,3,8,completed,run.completed,16,19,13643,271168,0,3003,58,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,150.880427,28.404893,206.389273,2026-09-09T00:24:05.358317Z,2,nginx-request-logging__HX7fWtT,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-19-55-824461__nginx-request-logging/nginx-request-logging__HX7fWtT/result.json
openssl-selfsigned-cert,Medium,0,failed,5,6,completed,run.completed,18,17,9046,282752,0,1734,68,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,150.558616,22.212902,200.468533,2026-09-09T00:28:19.021876Z,2,openssl-selfsigned-cert__At3mkHx,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-24-14-900848__openssl-selfsigned-cert/openssl-selfsigned-cert__At3mkHx/result.json
overfull-hbox,Easy,0,failed,3,4,timeout,ProductDeadlineExpired,32,35,52490,850816,0,16323,8363,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,757.496329,84.571226,869.64024,2026-09-08T19:25:34.205634Z,1,overfull-hbox__gKeF4Ac,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__19-10-11-309482__overfull-hbox/overfull-hbox__gKeF4Ac/result.json
password-recovery,Hard,1,passed,2,2,completed,run.completed,25,30,44218,587968,0,13647,2675,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,389.360205,33.512359,452.927702,2026-09-09T04:20:12.650418Z,2,password-recovery__SgxRqeD,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__04-11-50-039030__password-recovery/password-recovery__SgxRqeD/result.json
path-tracing,Hard,0,failed,0,5,timeout,ProductDeadlineExpired,30,32,368155,1451328,0,52165,2480,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1822.750069,39.319533,1891.146966,2026-09-08T21:10:22.658869Z,1,path-tracing__subwW4e,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__20-37-52-552618__path-tracing/path-tracing__subwW4e/result.json
path-tracing-reverse,Hard,0,failed,0,3,timeout,ProductDeadlineExpired,33,42,335344,1827904,0,25152,5520,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,1809.980826,32.300112,1870.250804,2026-09-08T21:29:48.517300Z,1,path-tracing-reverse__Zq7dLrv,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__20-57-42-361796__path-tracing-reverse/path-tracing-reverse__Zq7dLrv/result.json
polyglot-c-py,Medium,1,passed,1,1,completed,run.completed,9,11,3931,132416,0,11613,10431,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,234.89138,36.311382,299.628925,2026-09-09T00:34:07.454006Z,2,polyglot-c-py__uW8kqAQ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-28-24-576964__polyglot-c-py/polyglot-c-py__uW8kqAQ/result.json
polyglot-rust-c,Hard,1,passed,1,1,completed,run.completed,13,16,8119,201856,0,28026,25359,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,552.428366,73.813172,654.9511,2026-09-09T00:43:07.217513Z,2,polyglot-rust-c__6qdsvRY,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-09__00-31-30-786927__polyglot-rust-c/polyglot-rust-c__6qdsvRY/result.json
portfolio-optimization,Medium,0,failed,1,4,completed,run.completed,16,19,32573,291584,0,8746,6088,True,agent/hermes-run-events.jsonl + agent/hermes-session.jsonl,580.351217,30.255516,640.875223,2026-09-08T15:27:50.648238Z,1,portfolio-optimization__o2YDZ9z,/home/vagrant/moi-benchmark/work/linux-terminal-bench/hermes/jobs/2026-09-08__15-16-06-124778__portfolio-optimization/portfolio-optimization__o2YDZ9z/result.json
