task_id,author_difficulty,attempt_count,selected_finished_at,reward,verify_status,verifier_progress,verifier_tests,verifier_passed,verifier_failed,verifier_skipped,product_terminal_status,dsh_finish_reason,dsh_model_request_steps,dsh_tool_calls,e2e_s,agent_execution_s,verifier_s,fresh_input_tokens,cache_read_tokens,output_tokens,usage_source,selected_trial_path
cobol-modernization,easy,1,2026-08-18T05:06:20.095336Z,1,pass,3/3,3,3,0,0,completed,max_turns,50,51,625.016891,594.105217,11.391784,37945,624000,22298,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-55-54/cobol-modernization__sJR8Hig
code-from-image,medium,1,2026-08-18T04:42:18.862604Z,1,pass,2/2,2,2,0,0,completed,completed,29,28,292.760347,264.216768,8.76035,22469,128384,5088,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-37-25/code-from-image__JB24maG
compile-compcert,medium,1,2026-08-17T18:24:54.317513Z,0,no_pass,0/3,3,0,3,0,completed,max_turns,50,51,2576.055432,2470.398667,12.486639,17637,267584,2712,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__01-41-57/compile-compcert__N4fepwf
configure-git-webserver,hard,1,2026-08-18T05:00:01.304763Z,0,no_pass,0/1,1,0,1,0,completed,completed,14,13,199.413387,113.227609,14.02866,4881,19840,1352,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-56-41/configure-git-webserver__4VQ7gi6
constraints-scheduling,medium,1,2026-08-18T04:41:58.323054Z,1,pass,3/3,3,3,0,0,completed,completed,8,9,149.885237,112.048983,18.208713,12698,34176,5157,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-39-27/constraints-scheduling__NNJ8MEN
count-dataset-tokens,medium,1,2026-08-18T05:17:09.576350Z,1,pass,1/1,1,1,0,0,completed,completed,46,45,1025.962437,965.143494,12.102089,33939,709952,18066,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-00-03/count-dataset-tokens__EsR6UaV
crack-7z-hash,medium,1,2026-08-17T19:02:50.575161Z,1,pass,2/2,2,2,0,0,completed,completed,42,41,2274.019811,2157.487507,18.204937,9010,191808,1835,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__02-24-56/crack-7z-hash__8VyPVbB
custom-memory-heap-crash,medium,1,2026-08-18T03:49:52.378644Z,1,pass,6/6,6,6,0,0,completed,max_turns,50,59,515.591045,469.345389,27.031408,24185,630592,7408,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__11-41-16/custom-memory-heap-crash__htoxTHE
db-wal-recovery,medium,1,2026-08-18T05:19:36.699076Z,0,no_pass,0/7,7,0,7,0,completed,max_turns,50,50,945.904815,904.825866,17.484193,52902,714560,13072,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-03-50/db-wal-recovery__Miygmi6
distribution-search,medium,1,2026-08-18T03:03:12.901541Z,1,pass,4/4,4,4,0,0,completed,completed,8,7,204.332637,170.304884,14.171295,25360,7616,4860,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__10-59-48/distribution-search__zxj6KEB
dna-assembly,hard,1,2026-08-18T04:16:59.299746Z,0,no_pass,0/1,1,0,1,0,completed,completed,44,44,1780.858353,1711.621807,15.166862,75714,1341376,48545,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__11-47-17/dna-assembly__iFp4LMw
dna-insert,medium,1,2026-08-17T19:12:45.362444Z,0,no_pass,0/1,1,0,1,0,completed,completed,22,21,592.485191,461.49753,31.139078,24894,266240,13038,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__03-02-52/dna-insert__cPccyuq
extract-elf,medium,1,2026-08-18T05:11:32.955932Z,0,no_pass,0/2,2,0,2,0,completed,completed,24,30,310.231855,274.886693,15.835899,21982,273536,6463,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-06-22/extract-elf__hXssMQr
extract-moves-from-video,hard,1,2026-08-18T04:16:29.452117Z,0,no_pass,0/2,2,0,2,0,completed,max_turns,50,53,1594.665283,1529.143657,13.04022,47875,983936,9570,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__11-49-54/extract-moves-from-video__2r6j9Vd
feal-differential-cryptanalysis,hard,1,2026-08-18T04:01:25.425985Z,1,pass,1/1,1,1,0,0,completed,completed,23,22,372.591417,314.710226,37.669832,25132,143744,10225,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__11-55-12/feal-differential-cryptanalysis__TTXtzBQ
feal-linear-cryptanalysis,hard,1,2026-08-18T04:12:57.786013Z,1,pass,1/1,1,1,0,0,completed,completed,21,25,689.83115,659.063124,11.054715,40438,340736,28364,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-01-27/feal-linear-cryptanalysis__dyKbTRP
filter-js-from-html,medium,1,2026-08-17T13:26:30.277081Z,0,no_pass,0/2,2,0,2,0,completed,completed,31,30,1228.592625,386.030833,819.862089,20580,248576,12156,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-17__21-06-01/filter-js-from-html__xvZQ6Qb
financial-document-processor,medium,1,2026-08-17T19:43:10.296856Z,0,no_pass,6/7,7,6,1,0,completed,completed,48,48,881.319058,778.054271,18.348215,35525,898432,20918,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__03-28-28/financial-document-processor__YN74odj
fix-code-vulnerability,hard,1,2026-08-18T05:15:49.114350Z,1,pass,6/6,6,6,0,0,completed,completed,30,37,253.704012,229.982096,4.145047,19861,270144,2760,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-11-34/fix-code-vulnerability__SuogFk4
fix-git,easy,1,2026-08-18T05:17:35.396560Z,1,pass,2/2,2,2,0,0,completed,completed,9,8,103.898458,75.047054,9.830053,7869,16704,1412,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-15-50/fix-git__9fbdqDM
fix-ocaml-gc,hard,1,2026-08-18T03:21:19.382152Z,0,no_pass,0/1,1,0,1,0,completed,max_turns,50,50,1084.167484,562.564447,440.072935,36155,1148160,6535,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__11-03-14/fix-ocaml-gc__rw6W2xk
gcode-to-text,medium,1,2026-08-18T05:34:18.774578Z,0,no_pass,0/2,2,0,2,0,completed,max_turns,50,50,1026.821732,993.345381,13.763201,73664,1323648,29864,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-17-11/gcode-to-text__BKCKLrC
git-leak-recovery,medium,1,2026-08-18T05:21:43.875632Z,1,pass,5/5,5,5,0,0,completed,completed,14,24,246.280794,147.875905,25.048262,10823,30912,1749,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-17-37/git-leak-recovery__x9aygoA
git-multibranch,medium,1,2026-08-18T05:24:00.229457Z,0,no_pass,0/1,1,0,1,0,completed,completed,19,31,261.237611,217.450136,23.495149,20002,95808,4360,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-19-38/git-multibranch__nXPrPno
gpt2-codegolf,hard,1,2026-08-17T13:51:20.309835Z,0,no_pass,0/1,1,0,1,0,completed,max_turns,50,50,1487.752579,1374.95981,16.23468,55292,464960,17368,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-17__21-26-32/gpt2-codegolf__HuzoNzo
headless-terminal,medium,1,2026-08-18T05:28:04.633516Z,1,pass,7/7,7,7,0,0,completed,completed,31,33,378.311172,327.562035,30.326374,16326,205184,7856,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-21-45/headless-terminal__WQN5etS
hf-model-inference,medium,1,2026-08-18T05:26:33.342184Z,0,no_pass,1/4,4,1,3,0,completed,completed,9,8,150.891189,125.901106,7.176609,6901,35776,2416,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-24-01/hf-model-inference__mhANuiz
install-windows-3.11,hard,1,2026-08-17T16:16:27.146261Z,0,no_pass,1/4,4,1,3,0,completed,max_turns,50,54,2552.212757,2357.474243,145.825713,29756,359744,6412,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-17__23-33-54/install-windows-3.11__3asXrhu
kv-store-grpc,medium,1,2026-08-18T05:28:20.555240Z,0,no_pass,5/7,7,5,2,0,completed,completed,10,10,104.822477,74.666568,9.214714,4926,15424,1209,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-26-35/kv-store-grpc__bDVpfK5
large-scale-text-editing,medium,1,2026-08-18T04:48:14.484433Z,1,pass,5/5,5,5,0,0,completed,completed,9,10,374.039623,298.320709,55.244912,8440,26944,2562,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-42-00/large-scale-text-editing__3JCbzFB
largest-eigenval,medium,1,2026-08-18T05:35:51.377113Z,0,no_pass,2/3,3,2,1,0,completed,max_turns,50,50,464.732854,436.874635,8.028862,28819,415168,9988,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-28-06/largest-eigenval__AKJMXiB
llm-inference-batching-scheduler,hard,1,2026-08-18T04:25:52.155872Z,1,pass,6/6,6,6,0,0,completed,max_turns,50,50,771.886743,738.893561,12.315362,61241,1242304,34614,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-12-59/llm-inference-batching-scheduler__WtkjrcF
log-summary-date-ranges,medium,1,2026-08-18T05:31:15.154040Z,1,pass,2/2,2,2,0,0,completed,completed,11,16,172.417274,138.229661,14.384284,17014,81792,3200,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-28-22/log-summary-date-ranges__zFjUf5k
mailman,medium,1,2026-08-18T04:30:49.700988Z,0,no_pass,1/3,3,1,2,0,completed,completed,47,51,857.817577,813.854124,23.749692,21449,605312,7023,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-16-31/mailman__eZDnBCS
make-doom-for-mips,hard,1,2026-08-18T05:43:29.222297Z,0,no_pass,0/3,3,0,3,0,completed,max_turns,50,63,731.639946,646.196683,65.947561,71808,2164224,8169,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-31-17/make-doom-for-mips__bKKMkZM
make-mips-interpreter,hard,1,2026-08-18T04:32:43.080551Z,0,no_pass,2/3,3,2,1,0,completed,max_turns,50,67,941.511107,903.287252,19.053187,60800,1608128,25978,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-17-01/make-mips-interpreter__GNGcRgY
mcmc-sampling-stan,hard,1,2026-08-17T12:42:25.671283Z,1,pass,6/6,6,6,0,0,completed,completed,38,39,1633.232165,1362.98123,246.605115,21071,207872,5717,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-17__20-15-11/mcmc-sampling-stan__jW3Zmyx
merge-diff-arc-agi-task,medium,1,2026-08-17T19:47:58.598025Z,1,pass,5/5,5,5,0,0,completed,completed,22,21,286.078375,185.307851,14.476568,11437,158976,2616,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__03-43-12/merge-diff-arc-agi-task__ahdnGb9
model-extraction-relu-logits,hard,1,2026-08-18T06:01:29.805639Z,1,pass,1/1,1,1,0,0,completed,max_turns,50,50,1628.769603,1586.771227,21.838091,83676,1038592,35414,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-34-20/model-extraction-relu-logits__5T8rpzy
modernize-scientific-stack,medium,1,2026-08-18T06:34:39.372143Z,1,pass,2/2,2,2,0,0,completed,completed,9,13,199.189336,162.541617,17.413478,26131,12928,2574,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__14-31-19/modernize-scientific-stack__4cMh4Tb
mteb-leaderboard,medium,1,2026-08-17T12:15:10.266340Z,0,no_pass,0/2,2,0,2,0,completed,max_turns,50,54,1758.484187,1729.124356,10.058302,42993,916608,8970,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-17__19-45-51/mteb-leaderboard__BzHFDqe
mteb-retrieve,medium,1,2026-08-18T04:31:55.215212Z,1,pass,2/2,2,2,0,0,completed,completed,24,26,360.671075,206.59374,136.135096,16953,140800,3086,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-25-54/mteb-retrieve__MpvpoCX
multi-source-data-merger,medium,1,2026-08-18T05:38:54.073860Z,1,pass,3/3,3,3,0,0,completed,completed,6,7,180.497154,138.179545,22.026019,9509,11072,3565,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-35-53/multi-source-data-merger__oZAVCvo
nginx-request-logging,medium,1,2026-08-18T05:41:29.043495Z,0,no_pass,3/8,8,3,5,0,completed,completed,12,14,152.399943,114.553502,17.926301,9920,19968,1537,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-38-56/nginx-request-logging__7FNuR28
openssl-selfsigned-cert,medium,1,2026-08-18T05:44:36.915374Z,0,no_pass,5/6,6,5,1,0,completed,completed,15,14,185.248371,151.231529,14.439577,11471,26048,2424,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-41-31/openssl-selfsigned-cert__Uy8WrJE
overfull-hbox,easy,1,2026-08-18T07:44:30.859889Z,1,pass,4/4,4,4,0,0,completed,completed,25,28,488.725795,392.43439,46.342165,32202,236992,4842,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__15-36-21/overfull-hbox__rgKpEQs
password-recovery,hard,1,2026-08-18T05:51:02.009974Z,1,pass,2/2,2,2,0,0,completed,completed,33,39,450.445672,350.413971,13.813479,43407,425600,9040,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-43-31/password-recovery__uLRUtVm
path-tracing,hard,1,2026-08-18T04:39:26.215175Z,1,pass,5/5,5,5,0,0,completed,max_turns,50,51,513.868687,460.47072,33.590997,88390,1291840,16161,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-30-51/path-tracing__MNu8BiQ
path-tracing-reverse,hard,1,2026-08-18T04:45:27.196550Z,0,no_pass,1/3,3,1,2,0,completed,max_turns,50,56,809.697076,716.621146,17.168459,91455,2399360,28312,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__12-31-57/path-tracing-reverse__iUcJjoi
polyglot-c-py,medium,1,2026-08-18T05:53:43.538380Z,1,pass,1/1,1,1,0,0,completed,completed,34,33,544.091991,471.760105,17.036831,31723,307072,15843,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-44-38/polyglot-c-py__oUpdZtT
polyglot-rust-c,hard,1,2026-08-18T05:58:09.866992Z,1,pass,1/1,1,1,0,0,completed,completed,21,20,425.381663,354.607444,17.660956,32432,68032,5960,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-51-03/polyglot-rust-c__oZGzkjS
portfolio-optimization,medium,1,2026-08-17T16:22:25.151624Z,1,pass,4/4,4,4,0,0,completed,completed,21,20,355.444406,244.179093,91.343008,17934,115392,3852,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__00-16-29/portfolio-optimization__u8rzrKs
protein-assembly,hard,1,2026-08-17T19:28:26.720968Z,0,no_pass,0/1,1,0,1,0,completed,max_turns,50,50,939.054783,905.871693,13.132532,43258,930944,23577,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__03-12-47/protein-assembly__kL38vz2
prove-plus-comm,easy,1,2026-08-18T05:55:52.170024Z,1,pass,4/4,4,4,0,0,completed,completed,10,9,125.624777,80.217755,23.187458,4032,13120,1072,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-53-45/prove-plus-comm__gChgDZb
pypi-server,medium,1,2026-08-18T05:59:19.880974Z,0,no_pass,0/1,1,0,1,0,completed,completed,12,12,205.112358,157.81754,26.07105,14131,19072,1324,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-55-54/pypi-server__6vfQQF2
pytorch-model-cli,medium,1,2026-08-18T06:08:21.964882Z,1,pass,6/6,6,6,0,0,completed,completed,31,30,609.789853,443.509317,145.019547,27847,156608,6853,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-58-11/pytorch-model-cli__9s7x5z4
pytorch-model-recovery,medium,1,2026-08-18T06:04:50.550440Z,1,pass,5/5,5,5,0,0,completed,completed,13,13,328.244693,282.483522,28.031574,20153,51968,6050,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__13-59-21/pytorch-model-recovery__buTmwRG
qemu-alpine-ssh,medium,1,2026-08-17T20:00:21.289515Z,0,no_pass,0/1,1,0,1,0,completed,max_turns,50,64,740.489415,707.04094,13.050864,23499,572224,10754,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__03-48-00/qemu-alpine-ssh__RARaQt3
qemu-startup,medium,1,2026-08-17T20:16:06.738682Z,0,no_pass,0/1,1,0,1,0,completed,max_turns,50,50,943.189388,880.038042,15.410622,13556,328896,4993,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__04-00-23/qemu-startup__T8fgFjn
query-optimize,medium,1,2026-08-18T06:29:56.473909Z,0,no_pass,5/6,6,5,1,0,completed,completed,27,30,1703.872326,1116.075771,508.831593,18813,107904,5663,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__14-01-32/query-optimize__KiaZ2kd
raman-fitting,medium,1,2026-08-18T06:23:55.875854Z,0,no_pass,1/3,3,1,2,0,completed,completed,40,40,1142.499881,1101.971985,16.199696,85038,961280,33622,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__14-04-52/raman-fitting__eJfcRVN
regex-chess,hard,1,2026-08-18T03:29:06.179982Z,0,no_pass,1/4,4,1,3,0,completed,max_turns,50,51,1480.026108,1447.223786,13.764388,91299,1196480,63383,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__11-04-25/regex-chess__qcczqF5
regex-log,medium,1,2026-08-18T06:13:54.965838Z,1,pass,1/1,1,1,0,0,completed,completed,16,15,330.623422,253.166273,18.642588,21803,113856,10267,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__14-08-23/regex-log__FnC2K3q
reshard-c4-data,medium,1,2026-08-18T03:36:28.314359Z,1,pass,1/1,1,1,0,0,completed,max_turns,50,63,1353.064932,1244.06399,88.211821,38557,643584,14535,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__11-13-54/reshard-c4-data__KeMun3S
rstan-to-pystan,medium,1,2026-08-17T13:05:59.434148Z,1,pass,6/6,6,6,0,0,completed,completed,49,55,1411.328995,1357.994697,33.754607,40824,1010176,11351,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-17__20-42-27/rstan-to-pystan__3JJtCaF
sam-cell-seg,hard,1,2026-08-17T15:33:47.574274Z,0,no_pass,1/9,9,1,8,0,completed,completed,25,28,1475.097479,755.934037,698.585205,25426,237696,7818,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-17__23-09-11/sam-cell-seg__DjJMaQi
sanitize-git-repo,medium,1,2026-08-18T06:20:35.196928Z,1,pass,3/3,3,3,0,0,completed,completed,42,41,397.694551,365.05643,11.69608,51112,1024448,5829,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__14-13-56/sanitize-git-repo__ip3Wd6V
schemelike-metacircular-eval,medium,1,2026-08-18T03:55:10.453268Z,1,pass,1/1,1,1,0,0,completed,max_turns,50,57,1119.661847,1006.968701,91.764195,44356,1166080,20197,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__11-36-30/schemelike-metacircular-eval__EK2nahZ
sparql-university,hard,1,2026-08-18T06:28:45.629865Z,1,pass,3/3,3,3,0,0,completed,completed,32,31,488.028728,421.402072,15.614492,28466,326400,10669,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__14-20-37/sparql-university__mGP83xv
sqlite-db-truncate,medium,1,2026-08-18T06:27:32.020813Z,1,pass,1/1,1,1,0,0,completed,completed,10,11,213.799209,181.100494,13.098067,28342,15616,4109,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__14-23-57/sqlite-db-truncate__R2tYQAt
sqlite-with-gcov,medium,1,2026-08-18T06:32:20.720669Z,1,pass,3/3,3,3,0,0,completed,completed,14,13,286.126778,214.764359,15.775153,18865,14912,1385,metadata,/Users/chenyuwei/Documents/MOI benchmark/work/dsh-c0-terminalbench-89-glm52-jobs/2026-08-18__14-27-33/sqlite-with-gcov__HVSpKwR
