task,status,terminal,kind,source,run_id,original_eval_status,failure_category,eval_override,e2e_seconds,agent_seconds,evaluator_seconds,orchestration_seconds,tool_calls,tool_failures,requests,completed,failed,stream,budget_exceeded,usage_count,token_input,token_output,token_total,cache_read,usage_reliable,token_note
courses-ta-hws,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/courses-ta-hws/attempt-1-20260912T200120598728Z,astra969-courses-ta-hws-20260912T200120598728Z,pass,none,,265.68239,166.203443,7.485385264037177,91.99356173596283,17,0,15,15,1,14,False,14,482484,8790,491274,432896,False,
cvpr-research,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/cvpr-research/attempt-1-20260912T200547086453Z,astra969-cvpr-research-20260912T200547086453Z,pass,none,,859.538202,760.200346,7.268729716073722,92.06912628392627,30,1,22,22,1,21,False,21,1874773,100642,1975415,1710720,False,
dataset-license-issue,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/dataset-license-issue/attempt-1-20260912T202007448010Z,astra969-dataset-license-issue-20260912T202007448010Z,pass,none,,1177.995426,758.22608,14.159513292019255,405.6098327079807,59,2,43,43,2,41,False,41,3392655,77190,3469845,3234304,False,
detect-revised-terms,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/detect-revised-terms/attempt-1-20260912T203946255657Z,astra969-detect-revised-terms-20260912T203946255657Z,no_pass,completed_but_no_pass,,515.192527,414.480125,7.042177169001661,93.6702248309984,29,0,18,18,1,17,False,17,1092497,57087,1149584,969088,False,
dietary-health,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/dietary-health/attempt-1-20260912T204822209239Z,astra969-dietary-health-20260912T204822209239Z,pass,none,,388.16974,289.25692,6.626089215977117,92.2867307840229,19,0,13,13,1,12,False,12,620788,39022,659810,542208,False,
email-paper-homepage,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/email-paper-homepage/attempt-1-20260912T205451148856Z,astra969-email-paper-homepage-20260912T205451148856Z,no_pass,completed_but_no_pass,,824.558416,576.91476,7.936496293055825,239.70715970694414,80,4,30,30,1,29,False,29,2492798,48597,2541395,2333056,False,
excel-data-transformation,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/excel-data-transformation/attempt-1-20260912T210836455484Z,astra969-excel-data-transformation-20260912T210836455484Z,pass,none,,333.475136,237.690871,4.887265196884982,90.89699980311505,20,0,19,19,0,18,False,19,829336,34304,863640,752256,True,
excel-market-research,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/excel-market-research/attempt-1-20260912T211410482839Z,astra969-excel-market-research-20260912T211410482839Z,pass,none,,263.152119,166.279595,5.257270126021467,91.61525387397856,12,0,12,12,0,11,False,12,452128,27064,479192,389248,True,
experiments-recordings,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/astra969-experiments-recordings-retest-20260913T035646Z,astra969-experiments-recordings-retest-20260913T035646Z,no_pass,completed_but_no_pass,"{'status': 'no_pass', 'duration': 67.581, 'result': '/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/evaluator-targeted-notion-20260915T020330Z/experiments-recordings/eval_res.json'}",1270.680744,1120.265661,13.44010512798559,136.9749778720145,81,4,76,76,3,73,False,73,5956940,112310,6069250,5750144,False,
fillout-online-forms,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/fillout-online-forms/attempt-1-20260914T124408838961Z,astra969-fillout-online-forms-20260914T124408838961Z,pass,none,,711.555438,610.587593,25.06034994602669,75.90749505397332,51,0,31,31,0,29,False,31,1976505,59374,2035879,1840896,True,
filter-low-selling-products,pass,crashed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/filter-low-selling-products/attempt-6-20260913T123946918421Z,astra969-filter-low-selling-products-20260913T123946918421Z,pass,product_error,,1211.696973,760.496357,53.62976421392523,397.57085178607485,37,3,31,31,0,31,False,31,1639721,40198,1679919,1488640,True,
find-alita-paper,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/find-alita-paper/attempt-2-20260913T051231550839Z,astra969-find-alita-paper-20260913T051231550839Z,pass,none,,892.669092,779.949338,14.764052055077627,97.95570194492234,24,5,16,16,1,15,False,15,465358,20567,485925,409216,False,
flagged-transactions,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/flagged-transactions/attempt-1-20260913T052724887014Z,astra969-flagged-transactions-20260913T052724887014Z,pass,none,,452.608034,282.717555,5.758895676000975,164.131583323999,25,0,19,19,1,18,False,18,680995,17054,698049,622720,False,
game-statistics,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/game-statistics/attempt-1-20260913T053458155560Z,astra969-game-statistics-20260913T053458155560Z,pass,none,,432.782297,277.801448,16.758930734940805,138.22191826505923,26,1,15,15,1,14,False,14,426680,8696,435376,384768,False,
gdp-cr5-analysis,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/gdp-cr5-analysis/attempt-1-20260913T054211894202Z,astra969-gdp-cr5-analysis-20260913T054211894202Z,pass,none,,942.051055,818.84372,12.14662366907578,111.06071133092428,40,2,39,39,0,37,False,39,2731273,98483,2829756,2590848,True,
git-bug-hunt,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/git-bug-hunt/attempt-1-20260913T055754663007Z,astra969-git-bug-hunt-20260913T055754663007Z,pass,none,,250.448097,145.443365,4.193420034018345,100.81131196598164,13,0,13,13,1,12,False,12,329156,3596,332752,294528,False,
git-milestone,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/git-milestone/attempt-1-20260913T060205896016Z,astra969-git-milestone-20260913T060205896016Z,pass,none,,257.9216,142.757518,10.580240406095982,104.58384159390403,14,1,8,8,1,7,False,7,261091,17472,278563,211968,False,
git-repo,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/git-repo/attempt-1-20260913T060624553933Z,astra969-git-repo-20260913T060624553933Z,pass,none,,349.217133,246.217281,7.32899335201364,95.67085864798634,21,1,17,17,1,16,False,16,781428,13038,794466,709504,False,
hk-top-conf,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/hk-top-conf/attempt-1-20260913T061214518586Z,astra969-hk-top-conf-20260913T061214518586Z,no_pass,completed_but_no_pass,,2369.478571,2263.103919,9.511308952001855,96.86334304799811,95,7,97,97,4,93,False,93,10852338,181758,11034096,10553600,False,
huggingface-upload,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/huggingface-upload/attempt-1-20260913T065144779753Z,astra969-huggingface-upload-20260913T065144779753Z,no_pass,completed_but_no_pass,"{'status': 'pass', 'duration': 22.062, 'result': '/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/evaluator-only-5-20260914T123048Z/huggingface-upload/eval_res.json'}",987.760158,870.113638,11.307538021937944,106.33898197806207,45,2,36,36,1,35,False,35,2461793,108601,2570394,2325376,False,
identify-all-songs,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/identify-all-songs/attempt-1-20260913T070813476212Z,astra969-identify-all-songs-20260913T070813476212Z,pass,none,,562.51807,453.650405,9.678857007995248,99.18880799200474,39,4,30,30,1,28,False,29,1363228,26413,1389641,1270272,False,
imagenet,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/imagenet/attempt-1-20260913T071736798310Z,astra969-imagenet-20260913T071736798310Z,pass,none,,254.018826,145.675252,7.002260981942527,101.34131301805746,24,0,15,15,1,14,False,14,477541,9677,487218,426496,False,
inter-final-performance-analysis,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/inter-final-performance-analysis/attempt-1-20260914T125601839858Z,astra969-inter-final-performance-analysis-20260914T125601839858Z,pass,none,,1542.429057,1416.651867,30.350231726071797,95.42695827392822,106,8,63,63,2,61,False,61,6982275,124232,7106507,6732160,False,
interview-report,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/interview-report/attempt-1-20260914T132146616536Z,astra969-interview-report-20260914T132146616536Z,pass,none,,1338.431572,1249.769399,15.08846298896242,73.57371001103752,420,0,58,58,2,56,False,56,6479395,133173,6612568,6266240,False,
inventory-sync,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/inventory-sync/attempt-1-20260913T073027246319Z,astra969-inventory-sync-20260913T073027246319Z,pass,none,,823.997624,607.924032,17.396432236069813,198.67715976393015,131,2,41,41,1,40,False,40,3916808,47841,3964649,3686272,False,
investment-decision-analysis,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/investment-decision-analysis/attempt-1-20260914T134407412914Z,astra969-investment-decision-analysis-20260914T134407412914Z,no_pass,completed_but_no_pass,,906.920889,785.793378,39.33154518401716,81.79596581598287,46,3,19,19,1,18,False,18,2018559,108681,2127240,1837824,False,
invoice-org,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/invoice-org/attempt-1-20260913T074437296646Z,astra969-invoice-org-20260913T074437296646Z,pass,none,,1128.866456,1019.956288,8.700336875976063,100.20983112402394,71,1,35,35,2,33,False,33,2401800,108731,2510531,2180480,False,
ipad-edu-price,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/ipad-edu-price/attempt-1-20260913T080326942919Z,astra969-ipad-edu-price-20260913T080326942919Z,no_pass,completed_but_no_pass,,609.838727,380.30723,126.01518476207275,103.5163122379272,34,4,21,21,1,20,False,20,1220643,25345,1245988,1124096,False,
k8s-deployment-cleanup,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/k8s-deployment-cleanup/attempt-1-20260913T081337668949Z,astra969-k8s-deployment-cleanup-20260913T081337668949Z,pass,none,,529.808626,281.461612,50.31366306205746,198.03335093794254,40,2,23,23,1,22,False,22,1051098,18064,1069162,978432,False,
k8s-mysql,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/k8s-mysql/attempt-1-20260913T082228679191Z,astra969-k8s-mysql-20260913T082228679191Z,no_pass,completed_but_no_pass,,1521.750147,1235.081199,12.339351498987526,274.3295965010125,61,3,57,57,1,55,False,56,4317499,120757,4438256,4132224,False,
k8s-pr-preview-testing,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/k8s-pr-preview-testing/attempt-1-20260914T135917422081Z,astra969-k8s-pr-preview-testing-20260914T135917422081Z,pass,none,,1050.849542,816.906105,11.57019090896938,222.37324609103052,69,2,59,59,2,57,False,57,3221409,73082,3294491,3099776,False,
k8s-redis-helm-upgrade,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/k8s-redis-helm-upgrade/attempt-1-20260914T141650014684Z,astra969-k8s-redis-helm-upgrade-20260914T141650014684Z,pass,none,,1564.152006,1257.828169,16.19909341004677,290.12474358995337,90,2,81,81,2,78,False,79,6907688,101223,7008911,6718464,False,
k8s-safety-audit,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/k8s-safety-audit/attempt-1-20260914T144256092084Z,astra969-k8s-safety-audit-20260914T144256092084Z,pass,none,,1087.498752,731.489254,33.936473309993744,322.07302469000626,49,5,37,37,1,36,False,36,2977767,86836,3064603,2826880,False,
landing-task-reminder,pass,completed,historical,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/landing-task-reminder/m3-20260807T155211Z-58-landing-task-reminder-astra-a1,m3-20260807T155211Z-58-landing-task-reminder-astra-a1,,,,989.605839,866.5382899679826,73.98320545902243,49.08434357299495,39,0,55,55,0,24,False,55,1238751,88399,1327150,,True,historical_previous_astra_version; includes_internal_nonstream; cache_read_unknown
language-school,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/language-school/attempt-2-20260914T152103749673Z,astra969-language-school-20260914T152103749673Z,no_pass,completed_but_no_pass,,764.164207,692.277272,11.53845336206723,60.348481637932764,81,3,32,32,1,31,False,31,2477447,74233,2551680,2317184,False,
latex-prompt-box,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/latex-prompt-box/attempt-2-20260914T153349233268Z,astra969-latex-prompt-box-20260914T153349233268Z,pass,none,,940.119841,874.459529,7.539839687058702,58.120472312941274,75,0,65,65,2,63,False,63,4121607,86350,4207957,3960320,False,
live-transactions,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/live-transactions/attempt-1-20260914T154930975829Z,astra969-live-transactions-20260914T154930975829Z,no_pass,completed_but_no_pass,,1004.755768,496.610261,23.280262661981396,484.8652443380186,35,0,22,22,1,21,False,21,1244248,53590,1297838,1145600,False,
llm-training-dataset,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/llm-training-dataset/attempt-1-20260914T160617629854Z,astra969-llm-training-dataset-20260914T160617629854Z,pass,none,,1075.962526,978.983079,19.228120074956678,77.75132692504337,59,1,49,49,1,47,False,48,4150823,112425,4263248,3971712,False,
logical-datasets-collection,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/rerun-authorized-18-20260914/logical-datasets-collection/attempt-2-20260914T163159782197Z,astra969-logical-datasets-collection-20260914T163159782197Z,pass,none,,661.440695,584.96264,12.880989059922285,63.597065940077755,45,1,19,19,1,18,False,18,1272801,39931,1312732,1161216,False,
machine-operating,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/machine-operating/attempt-2-20260913T150414284506Z,astra969-machine-operating-20260913T150414284506Z,pass,none,,599.634513,456.298481,39.63169939699583,103.70433260300416,42,0,29,29,1,28,False,28,1572847,37814,1610661,1485440,False,
meeting-assign,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/meeting-assign/attempt-1-20260913T151415127358Z,astra969-meeting-assign-20260913T151415127358Z,pass,none,,341.470859,259.596665,13.691914706956595,68.18227929304345,17,0,15,15,1,14,False,14,697236,28084,725320,621184,False,
merge-hf-datasets,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/merge-hf-datasets/attempt-1-20260913T151957717185Z,astra969-merge-hf-datasets-20260913T151957717185Z,no_pass,completed_but_no_pass,,507.957541,434.1902,11.333753196988255,62.43358780301173,30,0,30,30,1,28,False,29,1400630,48846,1449476,1303936,False,
mrbeast-analysis,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/mrbeast-analysis/attempt-1-20260913T152826901122Z,astra969-mrbeast-analysis-20260913T152826901122Z,no_pass,completed_but_no_pass,,1333.284943,1264.929725,9.965295797912404,58.389922202087746,131,0,76,76,2,74,False,74,10344839,148154,10492993,9936128,False,
music-analysis,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/music-analysis/attempt-1-20260913T155041521234Z,astra969-music-analysis-20260913T155041521234Z,pass,none,,647.041442,559.777255,9.377973802038468,77.88621319796152,30,0,29,29,1,28,False,28,1801603,63228,1864831,1674368,False,
nhl-b2b-analysis,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/nhl-b2b-analysis/attempt-1-20260913T160129782254Z,astra969-nhl-b2b-analysis-20260913T160129782254Z,pass,none,,479.388077,386.111926,15.66282276099082,77.6133282390092,29,2,25,25,1,24,False,24,985947,31300,1017247,908672,False,
notion-find-job,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/notion-find-job/attempt-1-20260913T160930506214Z,astra969-notion-find-job-20260913T160930506214Z,pass,none,,722.106307,594.550271,24.195700674899854,103.36033532510021,39,2,35,35,2,33,False,33,2468427,50204,2518631,2303360,False,
notion-hr,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/notion-hr/attempt-1-20260913T162134007359Z,astra969-notion-hr-20260913T162134007359Z,pass,none,,701.736391,594.120026,19.834304169053212,87.78206083094676,89,0,29,29,1,28,False,28,2714083,65707,2779790,2441344,False,
notion-movies,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/notion-movies/attempt-1-20260913T163317312510Z,astra969-notion-movies-20260913T163317312510Z,pass,none,,489.471873,376.559747,19.69181109999772,93.22031490000228,40,0,24,24,1,23,False,23,1435095,23397,1458492,1331584,False,
notion-personal-website,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/notion-personal-website/attempt-1-20260913T164128279688Z,astra969-notion-personal-website-20260913T164128279688Z,pass,none,,884.849337,772.053225,17.38647442497313,95.40963757502686,47,4,31,31,1,30,False,30,2872901,98051,2970952,2695936,False,
nvidia-market,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/nvidia-market/attempt-2-20260913T233050936549Z,astra969-nvidia-market-20260913T233050936549Z,no_pass,completed_but_no_pass,,1789.63121,1707.837393,15.405906253959984,66.38791074604,85,0,64,64,3,61,False,61,6119238,96302,6215540,5921152,False,
nvidia-stock-analysis,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/nvidia-stock-analysis/attempt-1-20260914T000042182805Z,astra969-nvidia-stock-analysis-20260914T000042182805Z,no_pass,completed_but_no_pass,"{'status': 'pass', 'duration': 19.691, 'result': '/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/evaluator-only-5-20260914T123048Z/nvidia-stock-analysis/eval_res.json'}",1192.105367,1104.630776,15.204296658979729,72.27029434102019,73,0,37,37,1,35,False,36,4381330,138881,4520211,4177152,False,
oil-price,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/oil-price/attempt-3-20260914T080454426563Z,astra969-oil-price-20260914T080454426563Z,no_pass,completed_but_no_pass,"{'status': 'no_pass', 'duration': 67.015, 'result': '/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/evaluator-targeted-notion-20260915T020330Z/oil-price/eval_res.json'}",2710.345161,2344.985469,249.87565502501093,115.48403697498907,107,17,63,63,1,61,False,62,9087488,253755,9341243,8717696,False,
paper-checker,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/paper-checker/attempt-1-20260914T002127360639Z,astra969-paper-checker-20260914T002127360639Z,pass,none,,561.21978,489.409204,12.281216486939229,59.5293595130608,49,0,38,38,1,36,False,37,2430622,48917,2479539,2315776,False,
payable-invoice-checker,pass,completed,historical,/home/vagrant/moi-benchmark/astra/results/toolathlon-m3-remaining-batch-v1/runs/astra/payable-invoice-checker/m3-20260807T155211Z-76-payable-invoice-checker-astra-a1,m3-20260807T155211Z-76-payable-invoice-checker-astra-a1,,,,706.105605,637.7170086519327,26.116519722971134,42.27207662509613,45,0,49,49,0,23,False,49,927865,62941,990806,,True,historical_previous_astra_version; includes_internal_nonstream; cache_read_unknown
personal-website-construct,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/personal-website-construct/attempt-1-20260914T005154079651Z,astra969-personal-website-construct-20260914T005154079651Z,pass,none,,848.842593,771.706382,14.256644133012742,62.87956686698726,72,3,40,40,1,39,False,39,3200810,76497,3277307,2916736,False,
ppt-analysis,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/ppt-analysis/attempt-1-20260914T010604335343Z,astra969-ppt-analysis-20260914T010604335343Z,pass,none,,519.588451,437.532827,19.023010088014416,63.03261391198555,49,0,25,25,1,23,False,24,1464581,55224,1519805,1337472,False,
price-comparison,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/price-comparison/attempt-1-20260914T011445323327Z,astra969-price-comparison-20260914T011445323327Z,pass,none,,483.719197,218.824488,22.376031178981066,242.51867782101897,18,1,15,15,1,14,False,14,466345,9578,475923,418944,False,
privacy-desensitization,no_pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/privacy-desensitization/attempt-1-20260914T012250392606Z,astra969-privacy-desensitization-20260914T012250392606Z,no_pass,completed_but_no_pass,,493.281333,424.724837,7.666590881999582,60.889905118000456,23,0,22,22,1,21,False,21,1306387,55755,1362142,1196544,False,
profile-update-online,pass,completed,native,/home/vagrant/moi-benchmark/work/toolathlon-astra-969550b/batch-108-resumable/profile-update-online/attempt-1-20260914T013104973479Z,astra969-profile-update-online-20260914T013104973479Z,pass,none,,1235.09726,1152.767677,6.976815134985372,75.35276786501458,57,4,36,36,2,34,False,34,2200996,97947,2298943,2037120,False,
